后端开发（Java）,本科及以上,13-25k·12薪,腾云悦智科技(深圳)有限责任公司,3-5年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-天河区</a>"
Java架构师,本科及以上,30-40k·12薪,滴普科技,5-10年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-海珠区</a>"
Java开发工程师,统招本科,10-20k·13薪,广州佰锐网络科技有限公司,经验不限,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州</a>"
java,统招本科,11-19k·12薪,北京文思海辉金信软件有限公司广州分公司,3-5年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-五山</a>"
Java开发工程师,本科及以上,15-20k·12薪,云货优选,5-10年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州</a>"
java开发工程师,本科及以上,8-15k·12薪,广州淦源智能科技有限公司,1-3年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州</a>"
高级java开发工程师,本科及以上,15-20k·12薪,云货优选,5-10年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州</a>"
资深java开发工程师,本科及以上,18-35k·12薪,云货优选,5-10年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州</a>"
JAVA ERP开发工程师,本科及以上,8-14k·12薪,叁拾加(广东)农产品初加工有限公司,3-5年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-白云区</a>"
Java开发工程师,大专及以上,12-17k·12薪,深圳市点购电子商务控股股份有限公司,3-5年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-天河区</a>"
高级Java开发工程师,大专及以上,15-30k·13薪,本原网络科技(广州)有限公司,5-10年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州</a>"
Java开发工程师,本科及以上,10-21k·12薪,广州市奥威亚电子科技,1-3年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州</a>"
开发工程师（JAVA方向）,统招本科,10-25k·12薪,广州银联网络支付有限公司,经验不限,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-东圃</a>"
java架构师 (MJ000112),本科及以上,20-35k·13薪,广州市迈创智能科技有限公司,5-10年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-海珠区</a>"
高级JAVA开发工程师,本科及以上,19-23k·12薪,伯渡,5-10年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-天河区</a>"
资深Java架构师 (MJ000063),本科及以上,25-50k·13薪,广州市迈创智能科技有限公司,5-10年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-海珠区</a>"
高级JAVA开发工程师,统招本科,20-35k·13薪,广州市蓝海鲨科技有限公司,5-10年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-天河区</a>"
高级java开发工程师,大专及以上,18-22k·12薪,伯渡,5-10年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-天河区</a>"
